school_level,n,age_n,age_missing_n,age_mean,age_variance,age_sd,age_min,age_max,female_n,female_percent
grade_4,104,104,0,9.932692307692308,0.06338685586258391,0.2517674638681176,9,10,53,50.96153846153846
grade_8,126,117,9,14.025641025641026,0.24933687002652588,0.49933642970098413,13,16,64,50.79365079365079
