outcome,label,unit,school_level,n,mean_change,ci_low,ci_high,t_statistic,df,p_value,dz,significant
allocation_immediate,Immediate allocation,percentage points,grade_4,104,3.3198717948717986,0.26159578040749737,6.3781478093361,2.152906626110151,103,0.0336603862357026,0.21110986341305507,TRUE
allocation_immediate,Immediate allocation,percentage points,grade_8,126,9.103174603174606,6.014648704477542,12.19170050187167,5.833304599141474,125,4.370539162770876e-8,0.5196720772066692,TRUE
allocation_long,Long-term allocation,percentage points,grade_4,104,-6.958012820512816,-11.448465660152431,-2.4675599808732,-3.073092589678459,103,0.0027112197458497387,-0.3013415208047662,TRUE
allocation_long,Long-term allocation,percentage points,grade_8,126,-5.166666666666663,-8.3682628166706,-1.9650705166627271,-3.1938677104367557,125,0.0017767009442586099,-0.28453235026510626,TRUE
allocation_short,Short-term allocation,percentage points,grade_4,104,3.6381410256410294,-0.27218901088421843,7.548471062166278,1.845213724260176,103,0.06787933832715753,0.18093809205292025,FALSE
allocation_short,Short-term allocation,percentage points,grade_8,126,-3.9365079365079323,-6.855065552220108,-1.0179503207957576,-2.669413727568241,125,0.008607385954157385,-0.23781027600265403,TRUE
ln_k,ln(k),log units,grade_4,104,0.3666213383414798,0.039841384169227535,0.6934012925137321,2.225065967964003,103,0.028257535304060027,0.21818566903230133,TRUE
ln_k,ln(k),log units,grade_8,126,0.7514081693691271,0.40826433497648834,1.094552003761766,4.333838685018584,125,2.9821470925637703e-5,0.38608903640205833,TRUE
subjective_time,Subjective feeling of time passage,scale points,grade_4,104,-5.03525641025641,-8.546942457566454,-1.5235703629463662,-2.8437176227219174,103,0.0053786600730133015,-0.2788494547962835,TRUE
subjective_time,Subjective feeling of time passage,scale points,grade_8,126,-3.579365079365081,-6.468943930168891,-0.6897862285612724,-2.451571004207208,125,0.01560505375100406,-0.21840330374030256,TRUE
