story_condition,n,female_n,female_percent,age_mean,age_sd,age_min,age_max
fall_of_freddie_leaf,49,21,42.857142857142854,12.918367346938776,1.1696996532920596,11,16
badgers_parting_gifts,68,34,50,12.772058823529411,1.2014724285176699,10,15
goodbye_grandma_erma,67,42,62.6865671641791,12.746268656716419,1.146050974355371,11,15
