model,term,estimate,cluster_standard_error,statistic,cluster_df,p_value,ci_low,ci_high
clustered_intention_linear,(Intercept),2.5963699272675127,0.05223641015598738,49.704218178743176,183,3.3124780776689964e-108,2.4933068676258046,2.699432986909221
clustered_intention_linear,waveposttest,0.1144942402834559,0.028539751318762643,4.011746248404937,183,8.77490710178496e-5,0.058184970876511276,0.1708035096904005
clustered_intention_linear,choiceSS,-0.10833000700153601,0.05630288961357506,-1.924057677057783,183,0.055898898432568365,-0.21941627906572145,0.002756265062649421
clustered_intention_linear,purposeimmediate_consumption,-0.15248803462205923,0.07351278450329621,-2.0743063353180684,183,0.039450538793498795,-0.29752963436190716,-0.007446434882211278
clustered_intention_linear,purposefamily_support,-0.06586251884998051,0.0631830665339886,-1.0424077599106485,183,0.2985978001439816,-0.1905234619563874,0.05879842425642637
clustered_intention_linear,purposelearning_or_education,-0.1940421577500247,0.07682348967173201,-2.525818061365995,183,0.012391259798662162,-0.3456158182346997,-0.04246849726534968
clustered_intention_linear,purposefriends_or_gifts,-0.1448204922458376,0.07013456032510239,-2.064894847483685,183,0.04034304023906976,-0.2831968154301078,-0.006444169061567445
clustered_intention_linear,item2,0.01716141097834577,0.024048132714079726,0.7136275894010718,183,0.4763666159512475,-0.03028584140331173,0.06460866336000327
clustered_intention_linear,item3,-0.024774678680488268,0.031184711178093304,-0.7944495153090285,183,0.4279628437762375,-0.08630248540494942,0.03675312804397288
clustered_intention_linear,item4,-0.006926847867542317,0.03361892727891253,-0.20604012168726102,183,0.8369886106964223,-0.07325739196293633,0.0594036962278517
clustered_intention_linear,item5,-0.04108109891468142,0.03847622504892988,-1.0677008688466434,183,0.2870619247495936,-0.11699514938568448,0.034832951556321635
clustered_intention_linear,item6,-0.002609656841596118,0.03966413101837476,-0.06579387407698839,183,0.9476137543319043,-0.08086745994437541,0.07564814626118319
clustered_intention_linear,item7,-0.03468228101834443,0.043332389848797136,-0.800377757593427,183,0.42452978282968323,-0.1201776025013509,0.050813040464662035
clustered_intention_linear,waveposttest:choiceSS,-0.06946743219374282,0.04561213167523372,-1.5230034125211023,183,0.1294840143878652,-0.1594607114637432,0.020525847076257542
