check,value,expected
wide_rows,184,184
unique_participant_ids,184,184
minimum_age,10,10
maximum_age,16,16
item_rows,2576,2576
unique_participant_wave_item_rows,2576,2576
wide_item_purpose_mismatches,0,0
wide_item_intention_mismatches,0,0
max_pre_allocation_total_error,2.842170943040401e-14,<= 1e-8
max_post_allocation_total_error,0,<= 1e-8
missing_wide_cells,0,0
missing_item_cells,0,0
