participant_id,story_condition,gender,age_years,school_level,ses_hollingshead,ln_k_pre,ln_k_post,allocation_immediate_pre,allocation_immediate_post,allocation_short_pre,allocation_short_post,allocation_long_pre,allocation_long_post,subjective_time_pre,subjective_time_post
S1_163354E8,ant_and_grasshopper,female,10,grade_4,55.5,-4.490393709950342,-3.809592824009038,33.33333333333333,25,18.66666666666666,25,48,50,55.66666666666666,70
S1_CC1B0070,ant_and_grasshopper,male,11,grade_4,59,-7.981878878289828,-7.277516909858038,8.33333333333333,10,16.66666666666666,10,75,80,53.33333333333334,53.33333333333334
S1_15F08E35,last_leaf_maple_valley,male,13,grade_8,58,-3.129529941626674,-3.114494751207128,100,100,0,0,0,0,7.666666666666667,10
S1_03C26E77,last_leaf_maple_valley,female,11,grade_4,31,-7.981878878289828,-7.277516909858038,16.66666666666666,10,16.66666666666666,10,66.66666666666666,80,51.66666666666666,76.66666666666667
S1_2084781D,ant_and_grasshopper,male,15,grade_8,52,-3.129529941626674,-3.809592824009038,23.33333333333333,50,76.33333333333333,49,0.33333333333333,1,55.66666666666666,53
S1_5ED138B9,last_leaf_maple_valley,male,10,grade_4,44.5,-6.565166074925644,-5.196417130759268,33.33333333333333,20,50,50,16.66666666666666,30,8.333333333333334,8.333333333333334
S1_A5972384,last_leaf_maple_valley,male,10,grade_4,26,-3.470675603055177,-3.80899121414539,45.33333333333333,20,30,50,24.66666666666666,30,16.66666666666667,14.33333333333333
S1_D1E695B2,ant_and_grasshopper,female,9,grade_4,52,-7.981878878289828,-7.981878878289828,16.66666666666666,10,16.66666666666666,40,66.66666666666666,50,58.33333333333334,83.66666666666667
S1_D2708383,last_leaf_maple_valley,female,14,grade_8,55.5,-7.981878878289828,-5.196417130759268,20,15,13.33333333333333,28,66.66666666666666,56.99999999999999,31,54.33333333333334
S1_5A964D4C,ant_and_grasshopper,male,15,grade_8,19,-7.981878878289828,-7.981878878289828,16.66666666666666,20,16.66666666666666,30,66.66666666666666,50,68.33333333333333,67.33333333333333
S1_13E384A4,ant_and_grasshopper,male,14,grade_8,59,-6.565166074925644,-3.809592824009038,33.33333333333333,45,50,45,16.66666666666666,10,21.66666666666667,15.66666666666667
S1_BF82B027,ant_and_grasshopper,male,14,grade_8,69.5,-6.565166074925644,-5.196417130759268,16.66666666666666,30,33.33333333333333,40,50,30,11.33333333333333,55
S1_A62EBA23,last_leaf_maple_valley,female,14,grade_8,44.5,-5.203058278957988,-3.809592824009038,16.66666666666666,20,16.66666666666666,30,66.66666666666666,50,74.66666666666667,62
S1_E32D2F11,ant_and_grasshopper,female,15,grade_8,51,-6.565166074925644,-5.886103951450159,33.33333333333333,70,50,30,16.66666666666666,0,5.666666666666667,7.666666666666667
S1_D1B4C527,ant_and_grasshopper,female,14,grade_8,57,0.3465735900161546,0.3465735900161546,6.66666666666666,20,26.66666666666666,80,66.66666666666666,0,66.66666666666667,66.66666666666667
S1_A17C6DB9,last_leaf_maple_valley,female,,grade_4,52.45,-7.981878878289828,-7.981878878289828,8.33333333333333,100,20,0,71.66666666666667,0,70,63.33333333333334
S1_4A1C8E44,ant_and_grasshopper,male,11,grade_4,59,-7.981878878289828,-5.196417130759268,6.66666666666666,1,13.33333333333333,10,80,89,12.66666666666667,10.33333333333333
S1_40C56D68,last_leaf_maple_valley,male,9,grade_4,59.5,-7.981878878289828,-7.981878878289828,0,0,0,0,100,100,16.66666666666667,19.33333333333333
S1_29E4E2B0,last_leaf_maple_valley,female,10,grade_4,55,-6.565166074925644,-5.196417130759268,33.33333333333333,50,33.33333333333333,25,33.33333333333333,25,8,14
